MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
PA65|PA65|PA65|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||浙江省杭州市凯旋路445号物产大厦5层 5th Floor, Wuchang Building, 445 Kaixuan Road, Hangzhou City, Zhejiang Province, China|HANGZHOU|CHINA|Asia, Australia|30.27432|120.19007|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||HGH3||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA39|PA39|PA39|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"哈尔滨市哈南工业新城哈南第十五路
Road No. 15, Hanan New Industrial City , Haerbin. China"|HARBIN|CHINA|Asia, Australia|45.57456|126.638956|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||HRB1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA32|PA32|PA32|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||安徽省合肥市高新区合欢路与香樟大道交叉口 The cross corner of He Huan road and Xiang Zhang avenue, High-Tech Park, Hefei, Anhui, China|HEFEI|CHINA|Asia, Australia|31.8241271|117.199876|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||HFE1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA09|PA09|PA09|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||广东省惠州市麦地南路麦兴新苑B3栋2楼 MaiDiNan Road, Huizhou, Guangdong, China|HUIZHOU|CHINA|Asia, Australia|23.0777038|114.4164037|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||HUZ2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA44|PA44|PA44|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||"嘉兴市昌盛南路
Chang Sheng South Road, Jiaxing, Zhejiang Province, China"|JIAXING|CHINA|Asia, Australia|30.7958437|120.7711801|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||JAX1||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA66|PA66|PA66|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||济南市中区经七路纬五路75号5楼 5th Floor, 75 Weiwu Road, Jingqi Road, Central District, Jinan|JINAN|CHINA|Asia, Australia|36.65422|116.9899|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TNA2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA54|PA54|PA54|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"昆明市呈贡信息产业园智慧路
Zhihui Road, Chenggong  Information Industry Park, Kunming, China"|KUNMING|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||KMG1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA34|PA34|PA34|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"江西省南昌市火炬大街
Huo Ju Avenue, Nanchang, Jiangxi, China"|NANCHANG|CHINA|Asia, Australia|28.690518|115.9621468|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||KHN1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA10|PA10|PA10|Decommissioned|Pacnet Business Services|Point of Presence|IPVPN;||Jiangdong North road|NANJING|CHINA|Asia, Australia|32.060255|118.796877|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS|||||||||||||IPVPN||||||||||||||||||||||||||||||||||
PA56|PA56|PA56|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||"江苏省南京市中山北路
Zhongshan North Road, Nanjing, Jiangsu, China"|NANJING|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||NKG2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
Deutsche Telekom|PA27|PA27|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"浙江省宁波市江南路
Jiangnan road, Ningbo City, Zhejiang, China"|NINGBO|CHINA|Asia, Australia|29.8890963|121.6273943|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||NGB1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA67|PA67|PA67|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||宁波市海曙区集士港街道工贸三路卖面桥小区761号1楼 1st Floor, 761 Ji Shi Gang Jie Dao Gong Mao Third Road, Hai Zhu District, Ningbo|NINGBO|CHINA|Asia, Australia|29.86538|121.4698|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||NGB2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
CQSD|CQSD|CQSD|Live - as designed|Telstra International|Infrastructure||Cable Landing Station|No.13, Shan Dong Road  CNC Building Qingdao, 266071 China|QINGDAO|CHINA|Asia, Australia|36.068813|120.39358|CT||On-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PA11|PA11|PA11|Decommissioned|Pacnet Business Services|Point of Presence|IPVPN;||Jiang Shan south road, Economic & Technological Development zone|QINGDAO|CHINA|Asia, Australia|48.856614|2.352222|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS|||||||||||||IPVPN||||||||||||||||||||||||||||||||||
PA57|PA57|PA57|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||"山东省青岛市李沧区九水东路
Jiushui East Road, Licang District, Qingdao, Shandong"|QINGDAO|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TAO3||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA29|PA29|PA29|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"山东省济南市天桥区蓝翔路
Lan Xiang road , Tian Qiao district, Jinan, Shandong, China"|SHANDONG|CHINA|Asia, Australia|36.7073553|116.9571347|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TNA1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA50|PA50|PA50|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"山东省烟台市福山区长江路
Changjiang Road, Fushan District, Yantai, Shandong Province"|SHANDONG|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||YNT1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||Media Node||||
PA52|PA52|PA52|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"山东省潍坊市坊子区正泰路
Zhengtai Road, Fangzi District, Weifang, Shandong Province"|SHANDONG|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||WEF1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
CFLC|CFLC|CFLC|Live - as designed|Telstra International|Infrastructure|EPL;IPL;|Cable Landing Station|Nanhui-171 Lu Chao Gang Road, Lu Cao Gang Town, Nanhui Area, Shanghai, 201308, China|SHANGHAI|CHINA|Asia, Australia|30.957046|121.882347|CT||On-Net||||||FALSE|No||||||||||||||||||EPL||IPL||||||||||||||||||||||||||||||||||||||||||
CSES|CSES|CSES|Live - as designed|ESUN|Infrastructure|COLO;|Data Centre|No 508 South Zhongshan Road, Shanghai|SHANGHAI|CHINA|Asia, Australia|31.218696|121.504522|||Off-Net|||||No|FALSE|No||ESUN Shanghai|Resell|ESUN||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
CSFC|CSFC|CSFC|Decommissioned|Telstra International|Point of Presence;Infrastructure|COLO;|Data Centre|Telstra PBS Shanghai Data Centre Bldg 4 400 Fangchun Road Shanghai CHINA SHANGHA|SHANGHAI|CHINA|Asia, Australia|31.21415|121.63774|CT||Off-Net|||||Yes|FALSE|No||Shanghai IDX DC|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
CSNI|CSNI|CSNI|Live - as designed|Telstra International|Point of Presence|||Shanghai China Telecom 5788 Yanggao South Rd Kangqiao Town Nanhui District CHINA|SHANGHAI|CHINA|Asia, Australia|31.230416|121.473701|CT||Off-Net|Secondary|AS4637|100M|||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CSPB|CSPB|CSPB|Decommissioned|Telstra International|Point of Presence;Infrastructure|COLO;|Data Centre|GDS Waigaoqiao Data Centre Huajing Road, Waigaoqiao Free Trade Zone Pudong Distr|SHANGHAI|CHINA|Asia, Australia|31.230416|121.473701|CT||Off-Net|||||Yes|FALSE|No||SHDS2|Resell|PBS||No||||||ISO9001/27001|||||||||||||||||||||COLO|||||||||||||||||||||||||Media Node||||
PA12|PA12|PA12|Decommissioned|Pacnet Business Services|Point of Presence|||Room #708, Zihui Square, No.488 Wuning South Road|SHANGHAI|CHINA|Asia, Australia|48.856614|121.455965|Pacnet Business Services||Off-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PA14|PA14|PA14|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;RSA;VPLS;EVPL;COLO;GMN;|Data Centre|上海市浦东新区外高桥保税区富特西二路 / 上海市浦东新区外高桥保税区华京路 Fute West 2nd road, Waigaoqiao Tariff Free zone, Pudong New district, Shanghai, China/Or Jing Hua road, Waigaoqiao Tariff Free zone, Shanghai, China|SHANGHAI|CHINA|Asia, Australia|31.2|121.4|Pacnet Business Services||Off-Net|||||No|FALSE|No||SHDS2, China|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||ISO9001/27001|||PBS||SHA3, CSPB||||||GID|||||IPVPN|RSA||VPLS|EVPL|COLO||GMN|||||||||||||||||||||||Media Node||||
PA15|PA15|PA15|Decommissioned|Pacnet Business Services|Point of Presence|||Lucky Mansion|SHANGHAI|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PA38|PA38|PA38|Decommissioned|Pacnet Business Services|Point of Presence|IPVPN;||No.488 Wuning South Road|SHANGHAI|CHINA|Asia, Australia|31.233081|121.430896|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS|||||||||||||IPVPN||||||||||||||||||||||||||||||Media Node||||
PA46|PA46|PA46|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;RSA;VPLS;EVPL;||"上海市浦东新区康沈路1997号
No.1997 Kangshen Road, Pudong New District, Shanghai, China"|SHANGHAI|CHINA|Asia, Australia|31.107935|121.58093|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SHA4||||||GID|||||IPVPN|RSA||VPLS|EVPL||||||||||||||||||||||||||||||
PA51|PA51|PA51|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||"上海市杨浦区隆昌路,Equinix SH5数据中心
Equinix SH5, Longchang Road, Yangpu District, Shanghai, China"|SHANGHAI|CHINA|Asia, Australia|31.2758664|121.5425472|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SHA6||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA53|PA53|PA53|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;COLO;||"上海市浦东新区芳春路
Fangchun road, Pudong New district, Shanghai, China"|SHANGHAI|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net|||||No|FALSE|No||Shanghai IDX DC, China|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||PBS||SHA5||||||GID|||||IPVPN|||VPLS|EVPL|COLO|||||||||||||||||||||||||||||
PA68|PA68|PA68|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||上海市浦东爱迪生路333号 333 Edison Road, Pudong, Shanghai|SHANGHAI|CHINA|Asia, Australia|31.19231|121.60938|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SHA7||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA13|PA13|PA13|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;RSA;VPLS;EVPL;COLO;GMN;|Data Centre|"上海市浦东新区张江高科技园区芳春路
Fangchun road, Zhangjiang HI-Tech Park, Pudong New district, Shanghai, China"|SHANGHAI|CHINA|Asia, Australia|31.230416|121.473701|Pacnet Business Services||Off-Net|||||Yes|FALSE|No||Equinix SH1, Shanghai|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||PBS||SHA2, CSFR||||||GID|||||IPVPN|RSA||VPLS|EVPL|COLO||GMN|||||||||||||||||||||||||||
PA28|PA28|PA28|Decommissioned|Pacnet Business Services|Point of Presence|GID;IPVPN;||"辽宁省沈阳市浑南新区科幻路
Kehuan road, Hunnan New district, Shenyang City, Liaoning, China"|SHENYANG|CHINA|Asia, Australia|41.7216775|123.465711|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SHE1||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
Inteliglobe Communications|PA61|PA61|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||辽宁省沈阳市浑南新区创新路175号 175 Chang Xing Road, Hui Nan New District, Shenyang|SHENYANG|CHINA|Asia, Australia|41.721497|123.483002|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SHE2||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
CSGM|CSGM|CSGM|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;RSA;VPLS;EVPL;||"深圳市南山区高新中三道
3nd road, High-Tech Park, Nanshan district, Shenzhen, China"|SHENZHEN|CHINA|Asia, Australia|||||Off-Net||||||FALSE|No|||||||||||||||PBS||SZX4, GSGM||||||GID|||||IPVPN|RSA||VPLS|EVPL||||||||||||||||||||||||||||||
CSXY|CSXY|CSXY|Decommissioned|Telstra International|Point of Presence;Infrastructure|COLO;|Data Centre|Telstra PBS Shenzhen Data Centre (SZDS2 ) 4th Floor, Computer Room Building, Nat|SHENZHEN|CHINA|Asia, Australia|22.543099|114.057868|CT||Off-Net|||||Yes|FALSE|No||SZDS1|Resell|PBS||No|||||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
PA16|PA16|PA16|Decommissioned|Pacnet Business Services|Point of Presence|RSA;||Middle Zone, High-Tech Park, Centre zone|SHENZHEN|CHINA|Asia, Australia|22.543096|114.057865|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||||||||||||||||RSA|||||||||||||||||||||||||||||||||
PA17|PA17|PA17|Decommissioned|Pacnet Business Services|Point of Presence|IPVPN;||5/F, No.9 gaoxinzhongsandao|SHENZHEN|CHINA|Asia, Australia|22.533013|113.930476|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS|||||||||||||IPVPN||||||||||||||||||||||||||||||||||
PA18|PA18|PA18|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;SMA;COLO;||深圳市南山区西丽大学城学院大道 Xueyuan Avenue, University Town, Xili, Nanshan district, Shenzhen, China|SHENZHEN|CHINA|Asia, Australia|22.562198|113.955175|Pacnet Business Services||Off-Net|||||No|FALSE|No||SZDS1, China|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||PBS||SZX5, CSXY||||||GID|||||IPVPN||SMA|||COLO|||||||||||||||||||||||||||||
PA48|PA48|PA48|Decommissioned|Pacnet Business Services|Point of Presence|GID;IPVPN;||"广东省深圳市宝安区G107国道黄田段321
Huang Yu Segment 321, National Road G107, Baoan District, Shenzhen, Guangdong Province "|SHENZHEN|CHINA|Asia, Australia|22.5662568|113.8950821|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SZX6||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA60|PA60|PA60|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||深圳市南山区西丽松白公路1002号百旺信高科技工业园1区1栋4楼 Floor 4, Building 1, Zone 1, Baiwangxin High-tech Industrial Park, 1002 Xili Songbai Road, Nanshan District, Shenzhen|SHENZHEN|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SZX9||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA71|PA71|PA71|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||深圳市福田区红柳道3号万国数据深圳3号数据中心 Wanguo Data Center No.3, Hongliu Road no.3, Futian District, Shenzhen|SHENZHEN|CHINA|Asia, Australia|22.50458|114.0502|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SZX8||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
Internet Solutions|PA72|PA72|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||深圳罗湖区松园路89号怡正发大厦三层 3rd Floor, Yizhengfa Building, No.89 songyuan Road, Luohu District, Shenzhen|SHENZHEN|CHINA|Asia, Australia|22.55254|114.10652|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SZX7||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA42|PA42|PA42|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"石家庄新石中路与城角街交叉口
The Cross Corner of Xin Shi Zhong Road and Cheng Jiao Street, Shi Jia Zhuang, Hebei Province, China"|SHIJIAZHUANG|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SJW1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA19|PA19|PA19|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"江苏省苏州工业园区星湖街
Xinghu Street, Suzhou Industrial zone, Suzhou, Jiangsu, China"|SUZHOU|CHINA|Asia, Australia|31.298979|120.58529|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||SZV2||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA41|PA41|PA41|Decommissioned|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"太原市五一路
Wu Yi Road, Taiyuan, Shanxi Province, China"|TAIYUAN|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TYN1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
CTHH|CTHH|CTHH|Decommissioned|Telstra International|Point of Presence;Infrastructure|COLO;|Data Centre|Telstra PBS Tianjin Data Centre (TJCS1) No.8, of Huihai Road, Jingjin Gaochun Hi|TIANJING|CHINA|Asia, Australia|39.384051|117.04441|CT||Off-Net|||||Yes|FALSE|No||TJCS1|Resell|PBS||No||||||ISO9001/27001|||||||||||||||||||||COLO|||||||||||||||||||||||||||||
Deutsche Telekom|PA20|PA20|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"天津市西青区华宛产业园区（环外）海泰大道
Haitai Avenue, Huawan Industrial Park, Xiqing district, Tianjin, China"|TIANJING|CHINA|Asia, Australia|39.084158|117.200983|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TSN2||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA21|PA21|PA21|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;RSA;VPLS;EVPL;COLO;||"天津市武清区高村镇京津高村科技创新园汇海路
Huihai road, Gaocun High-Tech Park, Front Houshang Village, Gaocun Town, Wuqing Business district, Tianjin, P.R.China"|TIANJING|CHINA|Asia, Australia|39.084158|117.200983|Pacnet Business Services||Off-Net|||||No|FALSE|No||TJCS1, China|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||PBS||TSN3, CTHH||||||GID|||||IPVPN|RSA||VPLS|EVPL|COLO|||||||||||||||||||||||||||||
PA58|PA58|PA58|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;COLO;|Data Centre|"天津市北辰区通锦路
Tongjin Road, Beichen District, Tianjin,, China"|TIANJING|CHINA|Asia, Australia|39.316|117.194321|Pacnet Business Services||Off-Net|||||No|FALSE|No||Chayora Data Centre, China|Resell|PBS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||PBS||TSN4||||||GID|||||IPVPN|||||COLO|||||||||||||||||||||||||||||
PA79|PA79|PA79|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||天津市和平区四平西道11号，拉萨道与四平西路交口 11 Shi Ping West Road, He Ping District, Tianjing|TIANJING|CHINA|Asia, Australia|39.11582|117.18587|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||TSN5||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PB08|PB08|PB08|Decommissioned|Pacnet Business Services|Point of Presence|IPVPN;||Haitai Avenue, Huawan Industrial Park, Xiqing district, Tianjin, China|TIANJING|CHINA|Asia, Australia|39.08894|117.0705434|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS|||||||||||||IPVPN||||||||||||||||||||||||||||||||||
PA22|PA22|PA22|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;|Data Centre|"湖北省武汉市洪山区书城路文秀街
Wenxiu street, Shucheng road, Hongshan district, Wuhan, Hubei, China"|WUHAN|CHINA|Asia, Australia|30.593099|114.305393|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||WUH2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA23|PA23|PA23|Decommissioned|Pacnet Business Services|Point of Presence|GID;IPVPN;||"江苏省无锡滨湖区锦溪道
Jinxi road, Binhu district, Wuxi, Jiangsu, China"|WUXI|CHINA|Asia, Australia|31.527954|120.282692|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||WUX1||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA74|PA74|PA74|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||江苏省无锡市新吴区锡士路79-A 1号楼1层，EB2 A1-1房间 Room EB2 A1-1, Floor 1, Building 1, 79-A, Xishi Road, Xinwu District, Wuxi city, Jiangsu Province|WUXI|CHINA|Asia, Australia|31.52373|120.39242|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||WUX2||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA75|PA75|PA75|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;||江苏省无锡市南长区五爱路迎龙桥街道金宇苑159号-101室 101 Room, 159 Wu Ai Road, Nan Change District, Wuxi|WUXI|CHINA|Asia, Australia|31.5694|120.28488|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||WUX3||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA24|PA24|PA24|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"福建省厦门市观日路
Guanri road, Xiamen, Fujian, China"|XIAMEN|CHINA|Asia, Australia|24.479834|118.089425|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||XMN1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA70|PA70|PA70|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||福建省厦门市集美区孙坂北路前进村中保里118号 No.118, Zhongbaoli, Qianjin Village, Sunban North Road, Jimei District, Xiamen city, Fujian Province|XIAMEN|CHINA|Asia, Australia|22.62956|113.93769|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||XMN2||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA25|PA25|PA25|Decommissioned|Pacnet Business Services|Point of Presence|GID;IPVPN;||"陕西省西安航天基地航天中路
Hangtian Middle road, Xi'an Air Base, Xi'an, Shanxi, China"|XIAN|CHINA|Asia, Australia|37.873499|112.562678|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||XIY1||||||GID|||||IPVPN||||||||||||||||||||||||||||||||||
PA76|PA76|PA76|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||西安市碑林区火炬路18号楼4层 Floor 4, Building 18, Huoju Road, Beilin District, Xi 'an city|XIAN|CHINA|Asia, Australia|34.24575|109.00569|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||XIY2||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA45|PA45|PA45|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||"江苏省扬州市扬子江中路
Yang Zi Jiang Middle Road, Yangzhou, Jiangsu province, China"|YANGZHOU|CHINA|Asia, Australia|#N/A|#N/A|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||YTY1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
PA77|PA77|PA77|Live - as designed|Pacnet Business Services|Point of Presence|GID;IPVPN;VPLS;EVPL;||山东省烟台市福山区长江路 Changjiang Road, Fushan District, Yantai, Shandong Province|YANTAI|CHINA|Asia, Australia|37.56295|121.2418|Pacnet Business Services||Off-Net||||||FALSE|No|||||||||||||||PBS||YNT1||||||GID|||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||||
