MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
PEVS|PEVS|PEVS|Live - as designed|Telstra International|Point of Presence||Customer|Tata Tele Services, Shivajinagar, Pune INDIA PUNE|PUNE|INDIA|Asia, Australia|18.53082|73.84747|||Off-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ZZZZ_INDONESIA|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|INDONESIA|Asia, Australia|||||Off-Net|||||||No|||||||||||||||Telkom||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
IJCB|IJCB|IJCB|Live - as designed|Telstra International|Point of Presence|GID;IPT;IPVPN;VPLS;EVPL;COLO;IPX;|PoP;Data Centre|PT. Solusi Media Semesta  Cyber Building L3 Jakarta Selatan INDONESIA JAKARTA 12|JAKARTA|INDONESIA|Asia, Australia|-6.25308|106.83959|Indosat,Lintasarta,Telkom Indonesia|FS Indonesia|On-Net|Primary|AS4637|100M|100M|No|TRUE|Yes|FS|IJCB, Jakarta|Owned|Telstra International|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||GID|IPT||||IPVPN|||VPLS|EVPL|COLO|||||||||||||||||IPX||||||||||Supported||
JAKT|JAKT|JAKT|Live - as designed|Telstra International|Point of Presence|GID;IPT;IPVPN;VPLS;EVPL;|PoP|Wisma GKBI, L17 28 Jl Jenderal Sudirman INDONESIA JAKARTA 12010|JAKARTA|INDONESIA|Asia, Australia|-6.2172441|106.8127973|Indosat,Lintasarta,Telkom Indonesia|FS Indonesia|On-Net|Primary|AS4637|100M|100M||FALSE|Yes|FS||||||||||||||||||||||GID|IPT||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Supported||
ZZZZ_IRAN|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|IRAN|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_IRAQ|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|IRAQ|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_IRELAND|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|IRELAND|Europe|||||Off-Net|||||||No|||||||||||||||BT Wholesale,Colt Technology Service,Lumen||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_ISRAEL|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|ISRAEL|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||BT Wholesale||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_ITALY|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|ITALY|Europe|||||Off-Net|||||||No|||||||||||||||BT Wholesale,Colt Technology Service,Lumen||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||Media Node||||
IBTR|IBTR|IBTR|Live - as designed|Retelit|Infrastructure||Cable Landing Station|Strada Statale 16 - Km 810+800, 70019 Triggiano (BARI)|BARI|ITALY|Europe|41.091281|16.959972|||Off-Net|||||||No||Italy AAE-1 Cable Station, Bari||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MZLS|MZLS|MZLS|Live - as designed|Telecom Italia S.P.A.|Infrastructure||Cable Landing Station|Mazara Cable Landing Station (SMW3)|MAZARA|ITALY|Europe|37.6524691|12.5944244|||Off-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Media Node||||
IMNE|IMNE|IMNE|Live - as designed|Telstra International|Point of Presence|GMN;|PoP|Equinix ML2, Via Savona 125, 2|MILANO|ITALY|Europe|45.44866|9.14731||FS EMEA|Off-Net|||||Yes||No||Equinix ML2|Leased|Equinix|||||||||ML3,ML5||||||||||||||||||||||GMN|||||||||||||||||||||||||||
IRMI|IRMI|IRMI|Live - as designed|Digital Realty|Point of Presence|GMN;|PoP|Interxion ROM1 Via di Tor Cerv|ROME|ITALY|Europe|41.90827|12.58853||FS EMEA|Off-Net|||||||No||ROM1, Rome|Leased|Digital Realty|||||||||||||||||||||||||||||||GMN|||||||||||||||||||||||||||
ZZZZ_IVORY COAST|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|IVORY COAST|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
JAAJ|JAAJ|JAAJ|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Ajigura Cable Landing Station (EAC) Ajigauracho Hitachinaka JAPAN IBARAKI 311-12|AJIGARURA|JAPAN|Asia, Australia|36.382196|140.609154||FS Japan Cable Station (EAC Ajigaura)|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||EAC|
ZZZZ_JAPAN|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|JAPAN|Asia, Australia|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
CHCC|CHCC|CHCC|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Chikura Cable Landing Station (C2C) 2980-15 Chikuracho Seto, Minamiboso Chiba JA|CHIKURA|JAPAN|Asia, Australia|37.700127|140.97345|KDDI|FS Japan Cable Station|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||C2C|
CKKD|CKKD|CKKD|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Chikura Cable Landing Station (EAC) 2980-15 Chikuracho Seto, Minamiboso Chiba JA|CHIKURA|JAPAN|Asia, Australia|34.9701241|139.9602073|KDDI|FS Japan Cable Station|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||"UNITY, LA. USA
FASTER, OREGON, USA"|
EMIC|EMIC|EMIC|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Emi Cable Landing Station (TGN) Emi-Higashimakado Kamogawa JAPAN EMI 299-2844|EMI|JAPAN|Asia, Australia|35.47497|138.094781|||On-Net|Cable Landing Station|||||FALSE|No||||||||||||||||||EPL||IPL|ICBS|||||||||||||||||||||||||||||||||||||||||
JKHF|JKHF|JKHF|Live - as designed|Telstra International|Infrastructure||Repeater|22-1 Higashi-Fukashiba Kamis JAPAN KAMISU 314-0103|KAMISU|JAPAN|Asia, Australia|35.907132|140.663812||FS Japan POP - Tokyo|On-Net||||||FALSE|No|FS|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
JKNC|JKNC|JKNC|Decommissioned|Telstra International|Infrastructure||Repeater|786-7 Tojuku Ashiarai Nakag Kitaibaraki JAPAN IBARAKI 319-1552|KITAIBARAKI|JAPAN|Asia, Australia|#N/A|#N/A||FS Japan POP - Tokyo|On-Net||||||FALSE|No|FS|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
